Fiscal_Year,Line_Item,Basis,Value_$m
2020,(Loss) gain attaching to corporate transactions,AER,735.0
2020,(Loss) gain attaching to corporate transactions,CER,733.0
2020,(Loss) profit for the year,AER,2185.0
2020,(Loss) profit for the year,CER,2231.0
2020,Adjusted operating profit,AER,2757.0
2020,Adjusted operating profit,CER,2790.0
2020,Amortisation of acquisition accounting adjustments,AER,-5.0
2020,Amortisation of acquisition accounting adjustments,CER,-5.0
2020,CPL,AER,251.0
2020,CPL,CER,269.0
2020,Corporate expenditure,AER,-412.0
2020,Corporate expenditure,CER,-428.0
2020,Eastspring,AER,283.0
2020,Eastspring,CER,286.0
2020,Growth markets and other,AER,835.0
2020,Growth markets and other,CER,841.0
2020,Hong Kong,AER,891.0
2020,Hong Kong,CER,889.0
2020,Indonesia,AER,519.0
2020,Indonesia,CER,529.0
2020,Interest payable on core structural borrowings,AER,-316.0
2020,Interest payable on core structural borrowings,CER,-316.0
2020,Investment return and other income,AER,-15.0
2020,Investment return and other income,CER,-15.0
2020,Loss from discontinued US operations,AER,-283.0
2020,Loss from discontinued US operations,CER,-283.0
2020,Malaysia,AER,309.0
2020,Malaysia,CER,313.0
2020,Profit before tax attributable to shareholders,AER,2908.0
2020,Profit before tax attributable to shareholders,CER,2964.0
2020,Profit for the year from continuing operations,AER,2468.0
2020,Profit for the year from continuing operations,CER,2514.0
2020,Restructuring and IFRS 17 implementation costs,AER,-162.0
2020,Restructuring and IFRS 17 implementation costs,CER,-167.0
2020,Short-term fluctuations in investment returns on shareholder-backed business,AER,-579.0
2020,Short-term fluctuations in investment returns on shareholder-backed business,CER,-554.0
2020,Singapore,AER,574.0
2020,Singapore,CER,589.0
2020,Tax charge attributable to shareholders' returns,AER,-440.0
2020,Tax charge attributable to shareholders' returns,CER,-450.0
2020,Total other income and expenditure,AER,-743.0
2020,Total other income and expenditure,CER,-759.0
2020,Total segment profit,AER,3662.0
2020,Total segment profit,CER,3716.0
2021,(Loss) gain attaching to corporate transactions,AER,-94.0
2021,(Loss) profit for the year,AER,-2813.0
2021,Adjusted operating profit,AER,3233.0
2021,Adjusted operating profit,CER,3117.0
2021,Amortisation of acquisition accounting adjustments,AER,-5.0
2021,Amortisation of acquisition accounting adjustments,CER,-5.0
2021,CPL,AER,343.0
2021,CPL,CER,329.0
2021,Corporate expenditure,AER,-298.0
2021,Corporate expenditure,CER,-280.0
2021,Eastspring,AER,314.0
2021,Eastspring,CER,299.0
2021,Gain (loss) attaching to corporate transactions,AER,-94.0
2021,Gain (loss) attaching to corporate transactions,CER,-91.0
2021,Growth markets and other,AER,932.0
2021,Growth markets and other,CER,880.0
2021,Hong Kong,AER,975.0
2021,Hong Kong,CER,969.0
2021,Indonesia,AER,446.0
2021,Indonesia,CER,429.0
2021,Interest payable on core structural borrowings,AER,-328.0
2021,Interest payable on core structural borrowings,CER,-328.0
2021,Investment return and other income,AER,21.0
2021,Loss from discontinued US operations,AER,-5027.0
2021,Loss from discontinued US operations,CER,-5027.0
2021,Malaysia,AER,350.0
2021,Malaysia,CER,330.0
2021,Net investment return and other items,AER,21.0
2021,Net investment return and other items,CER,21.0
2021,Profit (loss) for the year,AER,-2813.0
2021,Profit (loss) for the year,CER,-2884.0
2021,Profit before tax attributable to shareholders,AER,2676.0
2021,Profit before tax attributable to shareholders,CER,2586.0
2021,Profit for the year from continuing operations,AER,2214.0
2021,Profit from continuing operations,AER,2214.0
2021,Profit from continuing operations,CER,2143.0
2021,Restructuring and IFRS 17 implementation costs,AER,-185.0
2021,Restructuring and IFRS 17 implementation costs,CER,-178.0
2021,Short-term fluctuations in investment returns on shareholder- backed business,AER,-458.0
2021,Short-term fluctuations in investment returns on shareholder- backed business,CER,-435.0
2021,Short-term fluctuations in investment returns on shareholder-backed business,AER,-458.0
2021,Singapore,AER,663.0
2021,Singapore,CER,646.0
2021,Tax charge attributable to shareholders' returns,AER,-462.0
2021,Tax charge attributable to shareholders' returns,CER,-443.0
2021,Total other income (expenditure),AER,-605.0
2021,Total other income (expenditure),CER,-587.0
2021,Total other income and expenditure,AER,-605.0
2021,Total segment profit,AER,4023.0
2021,Total segment profit,CER,3882.0
2022,Adjusted operating profit,AER,3375.0
2022,Amortisation of acquisition accounting adjustments,AER,-10.0
2022,CPL,AER,368.0
2022,Corporate expenditure,AER,-276.0
2022,Eastspring,AER,260.0
2022,Gain (loss) attaching to corporate transactions,AER,11.0
2022,Growth markets and other,AER,1057.0
2022,Hong Kong,AER,1036.0
2022,Indonesia,AER,343.0
2022,Interest payable on core structural borrowings,AER,-200.0
2022,Malaysia,AER,364.0
2022,Net investment return and other items,AER,39.0
2022,Profit (loss) for the year,AER,1007.0
2022,Profit before tax attributable to shareholders,AER,1461.0
2022,Profit from continuing operations,AER,1007.0
2022,Restructuring and IFRS 17 implementation costs,AER,-294.0
2022,Short-term fluctuations in investment returns on shareholder- backed business,AER,-1915.0
2022,Singapore,AER,678.0
2022,Tax charge attributable to shareholders' returns,AER,-454.0
2022,Total other income (expenditure),AER,-437.0
2022,Total segment profit,AER,4106.0
