Fiscal_Year,Metric,Unit,Category,Value
2020,Eligible group capital resources,$bn,Policyholder,-22.1
2020,Eligible group capital resources,$bn,Shareholder,12.8
2020,Eligible group capital resources,$bn,Total,34.9
2020,GWS capital surplus (over GMCR),$bn,Policyholder,-15.4
2020,GWS capital surplus (over GMCR),$bn,Shareholder,9.4
2020,GWS capital surplus (over GMCR),$bn,Total,24.8
2020,GWS coverage ratio (over GMCR),%,Shareholder,370.0
2020,GWS coverage ratio (over GMCR),%,Total,344.0
2020,Group Minimum Capital Requirement,$bn,Policyholder,-6.7
2020,Group Minimum Capital Requirement,$bn,Shareholder,3.4
2020,Group Minimum Capital Requirement,$bn,Total,10.1
2021,Eligible group capital resources,$bn,Policyholder,-27.5
2021,Eligible group capital resources,$bn,Shareholder,16.9
2021,Eligible group capital resources,$bn,Total,44.4
2021,GWS Tier 1 coverage ratio over GMCR,%,Total,328.0
2021,GWS Tier 1 surplus over GMCR,$bn,Total,14.9
2021,GWS capital surplus (over GMCR),$bn,Policyholder,-20.5
2021,GWS capital surplus (over GMCR),$bn,Shareholder,13.2
2021,GWS capital surplus (over GMCR),$bn,Total,33.7
2021,GWS capital surplus over GPCR,$bn,Policyholder,3.9
2021,GWS capital surplus over GPCR,$bn,Shareholder,17.5
2021,GWS capital surplus over GPCR,$bn,Total,21.4
2021,GWS coverage ratio (over GMCR),%,Shareholder,454.0
2021,GWS coverage ratio (over GMCR),%,Total,414.0
2021,GWS coverage ratio over GPCR,%,Shareholder,320.0
2021,GWS coverage ratio over GPCR,%,Total,204.0
2021,Group Minimum Capital Requirement,$bn,Policyholder,1.8
2021,Group Minimum Capital Requirement,$bn,Shareholder,4.7
2021,Group Minimum Capital Requirement,$bn,Total,6.5
2021,Group Prescribed Capital Requirement,$bn,Policyholder,12.6
2021,Group Prescribed Capital Requirement,$bn,Shareholder,8.0
2021,Group Prescribed Capital Requirement,$bn,Total,20.6
2021,Group capital resources,$bn,Policyholder,16.5
2021,Group capital resources,$bn,Shareholder,25.5
2021,Group capital resources,$bn,Total,42.0
2021,of which: Tier 1 capital resources,$bn,Policyholder,3.5
2021,of which: Tier 1 capital resources,$bn,Shareholder,17.9
2021,of which: Tier 1 capital resources,$bn,Total,21.4
2022,GWS Tier 1 coverage ratio over GMCR,%,Total,328.0
2022,GWS Tier 1 surplus over GMCR,$bn,Total,12.1
2022,GWS capital surplus over GPCR,$bn,Policyholder,2.5
2022,GWS capital surplus over GPCR,$bn,Shareholder,15.6
2022,GWS capital surplus over GPCR,$bn,Total,18.1
2022,GWS coverage ratio over GPCR,%,Shareholder,307.0
2022,GWS coverage ratio over GPCR,%,Total,202.0
2022,Group Minimum Capital Requirement,$bn,Policyholder,0.9
2022,Group Minimum Capital Requirement,$bn,Shareholder,4.4
2022,Group Minimum Capital Requirement,$bn,Total,5.3
2022,Group Prescribed Capital Requirement,$bn,Policyholder,10.1
2022,Group Prescribed Capital Requirement,$bn,Shareholder,7.6
2022,Group Prescribed Capital Requirement,$bn,Total,17.7
2022,Group capital resources,$bn,Policyholder,12.6
2022,Group capital resources,$bn,Shareholder,23.2
2022,Group capital resources,$bn,Total,35.8
2022,of which: Tier 1 capital resources,$bn,Policyholder,1.5
2022,of which: Tier 1 capital resources,$bn,Shareholder,15.9
2022,of which: Tier 1 capital resources,$bn,Total,17.4
